,Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class
ASAFE2,,,,,,-0.3689744565239521,1.5776834087583007,-0.2227484361826455,0.0
LTCR,,,,,,-0.3707163373417716,0.716799051250079,-0.462008725298934,0.0
OS76,,,,,,-0.1658380952521317,-1.1297294700387461,0.014602749004888825,3.0
BIC,,,,,,0.3002357485406686,-2.3047420157789915,0.3856066389799278,3.0
HXX,,,,,,-0.14230154765597744,-2.2643231452492176,0.4823935414293028,3.0
KED,,,,,,-0.334011793929035,1.0272713993669398,-0.5540637753596518,0.0
IOP,,,,,,-0.3251222657065908,0.851755459981853,-0.4247410030820147,0.0
KUSH,,,,,,-0.40027798466701076,1.247002445836807,-0.5402920859824603,0.0
PRX,,,,,,-0.33755766993656744,1.0274948973435787,-0.5540083804266777,0.0
PAC,,,,,,0.48597812461078144,-0.957610306273819,0.01745938825604482,3.0
IMPCH,,,,,,-0.33768441588899595,1.027489212422295,-0.5540046374476746,0.0
CTL,,,,,,-0.13543407866711146,-2.218153820177998,0.46152958678606987,3.0
ZBC,,,,,,-0.2875142194989604,0.8147010881280372,-0.23142119868730787,0.0
FRST,,,,,,-0.30982627041694233,0.4760434591653622,-0.4986270183923572,0.0
BVC,,,,,,-0.16580643197399514,-1.129728858277316,0.014601918173190167,3.0
FIND,,,,,,-0.23510126337307932,1.5616627597200117,-0.28469503586267453,0.0
VLTC,,,,,,-0.22098872324766994,-0.9106870335311161,0.02819923892070059,3.0
ZER,,,,,,-0.17680591879144317,-2.015233309973255,0.48901099865153685,3.0
CHAT,,,,,,-0.31856771500990005,1.0274372522630335,-0.5544519339137608,0.0
CDN,,,,,,-0.16394255136622893,-1.1297348400428813,0.014558424765180381,3.0
ZOI,,,,,,-0.14202036219799577,-2.2643214841024353,0.48238664949373083,3.0
RNS,,,,,,-0.2872557920225997,0.8147245917669198,-0.23143036622412397,0.0
DBIX,,,,,,-0.14172242137824617,-2.2138311624311653,0.27321018436753985,3.0
XVP,,,,,,-0.39954480952962973,1.2469623953073983,-0.5403043343216767,0.0
TAJ,,,,,,-0.42235276682867645,1.9091678773844025,-0.6959666535712055,0.0
IMX,,,,,,-0.39828520490200725,1.2469979679909884,-0.5403388344639897,0.0
EB3,,,,,,-0.13677176917035572,-1.1316063838418746,0.014154447111176457,3.0
ATMOS,,,,,,-0.34154646049465937,1.5018267293539544,-0.08815254696931092,0.0
HPC,,,,,,-0.39944285957104064,1.2469658542113389,-0.5403072014375121,0.0
CXT,,,,,,-0.1881196201842549,-0.6601164002960908,-0.0007373361759914022,3.0
MCRN,,,,,,-0.3359550721207971,1.5018089258925984,-0.08828303946057112,0.0
RAIN,,,,,,-0.39538993018166635,1.2468168593671356,-0.5403842436096421,0.0
IMS,,,,,,-0.3376277948094004,1.0274916500011038,-0.554006296388941,0.0
ARGUS,,,,,,-0.33762697749149545,1.0274863861535115,-0.5540056371506114,0.0
LMC,,,,,,-0.3307586696782198,1.027023644040709,-0.5541090904279488,0.0
PROC,,,,,,0.2567287697298948,0.6033258063750873,-0.1101891257221856,0.0
XGR,,,,,,-0.3999206359376969,1.2469926195403807,-0.5402993056577428,0.0
BENJI,,,,,,-0.16536946757470447,-1.1297370681064611,0.014592599329460287,3.0
GRW,,,,,,-0.27018207981922376,0.8138960151764619,-0.2317290182030862,0.0
ILC,,,,,,-0.11955720859879977,-1.3061085834955881,0.1431488135218695,3.0
PHR,,,,,,-0.3433314092648517,1.5018236783914432,-0.08810976352806929,0.0
DEA,,,,,,-0.3368396596521263,1.0274583762633243,-0.5540207236602795,0.0
HTML5,,,,,,0.8724676039800724,1.8897281443629583,-0.7135075973582163,0.0
